history:LTA_REF/LTA_1A_TEMP,,,
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:29 PM CT,,,
,,,
Timestamp,Trend Flags,Status,Value (°F)
2019-十月-10 14:00:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 14:10:00 PM CT,{ },{unackedAlarm},14.5 °F
2019-十月-10 14:20:00 PM CT,{ },{unackedAlarm},37.0 °F
2019-十月-10 14:30:00 PM CT,{ },{unackedAlarm},47.5 °F
2019-十月-10 14:40:00 PM CT,{ },"{fault,unackedAlarm}",-39.5 °F
2019-十月-10 14:50:00 PM CT,{ },{unackedAlarm},-15.0 °F
2019-十月-10 15:00:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 15:10:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 15:20:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 15:30:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 15:40:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 15:50:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 16:00:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 16:10:00 PM CT,{ },{unackedAlarm},-9.0 °F
2019-十月-10 16:20:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 16:30:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 16:40:00 PM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 16:50:00 PM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 17:00:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 17:10:00 PM CT,{ },{unackedAlarm},-2.5 °F
2019-十月-10 17:20:00 PM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 17:30:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 17:40:00 PM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 17:50:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 18:00:00 PM CT,{ },{unackedAlarm},-2.5 °F
2019-十月-10 18:10:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 18:20:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 18:30:00 PM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 18:40:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 18:50:00 PM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 19:00:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 19:10:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 19:20:00 PM CT,{ },{unackedAlarm},-4.0 °F
2019-十月-10 19:30:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 19:40:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 19:50:00 PM CT,{ },{unackedAlarm},-3.0 °F
2019-十月-10 20:00:00 PM CT,{ },{unackedAlarm},-7.0 °F
2019-十月-10 20:10:00 PM CT,{ },{unackedAlarm},13.0 °F
2019-十月-10 20:20:00 PM CT,{ },{unackedAlarm},36.0 °F
2019-十月-10 20:30:00 PM CT,{ },{unackedAlarm},45.5 °F
2019-十月-10 20:40:00 PM CT,{ },{unackedAlarm},-15.0 °F
2019-十月-10 20:50:00 PM CT,{ },"{fault,unackedAlarm}",-39.5 °F
2019-十月-10 21:00:00 PM CT,{ },{unackedAlarm},-19.5 °F
2019-十月-10 21:10:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 21:20:00 PM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-10 21:30:00 PM CT,{ },{unackedAlarm},-2.5 °F
2019-十月-10 21:40:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 21:50:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 22:00:00 PM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 22:10:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 22:20:00 PM CT,{ },{unackedAlarm},-3.0 °F
2019-十月-10 22:30:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 22:40:00 PM CT,{ },{unackedAlarm},-7.5 °F
2019-十月-10 22:50:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 23:00:00 PM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-10 23:10:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-10 23:20:00 PM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-10 23:30:00 PM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-10 23:40:00 PM CT,{ },{unackedAlarm},-3.5 °F
2019-十月-10 23:50:00 PM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-11 00:00:00 AM CT,{ },{unackedAlarm},-4.5 °F
2019-十月-11 00:10:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-11 00:20:00 AM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-11 00:30:00 AM CT,{ },{unackedAlarm},-5.5 °F
2019-十月-11 00:40:00 AM CT,{ },{unackedAlarm},-6.5 °F
2019-十月-11 00:50:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-11 01:00:00 AM CT,{ },{unackedAlarm},-8.0 °F
2019-十月-11 01:10:00 AM CT,{ },{unackedAlarm},-6.0 °F
2019-十月-11 01:20:00 AM CT,{ },{unackedAlarm},-5.0 °F
2019-十月-11 01:30:00 AM CT,{ },{unackedAlarm},-7.0 °F
