history:WM3423_BJ_LTA_REF/LTA_DISCHRG_PSIG
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:26 PM CT

Timestamp,Trend Flags,Status,Value (psi)
"2019-十月-9 14:30:00 PM CT","{ }","{ok}","235.5 psi"
"2019-十月-9 14:40:00 PM CT","{ }","{ok}","255.0 psi"
"2019-十月-9 14:50:00 PM CT","{ }","{ok}","243.8 psi"
"2019-十月-9 15:00:00 PM CT","{ }","{ok}","239.4 psi"
"2019-十月-9 15:10:00 PM CT","{ }","{ok}","219.8 psi"
"2019-十月-9 15:20:00 PM CT","{ }","{ok}","234.0 psi"
"2019-十月-9 15:30:00 PM CT","{ }","{ok}","229.6 psi"
"2019-十月-9 15:40:01 PM CT","{ }","{ok}","219.3 psi"
"2019-十月-9 15:50:00 PM CT","{ }","{ok}","240.8 psi"
"2019-十月-9 16:00:00 PM CT","{ }","{ok}","226.7 psi"
"2019-十月-9 16:10:00 PM CT","{ }","{ok}","236.9 psi"
"2019-十月-9 16:20:00 PM CT","{ }","{ok}","228.1 psi"
"2019-十月-9 16:30:00 PM CT","{ }","{ok}","223.7 psi"
"2019-十月-9 16:40:00 PM CT","{ }","{ok}","224.7 psi"
"2019-十月-9 16:50:00 PM CT","{ }","{ok}","224.2 psi"
"2019-十月-9 17:00:00 PM CT","{ }","{ok}","219.8 psi"
"2019-十月-9 17:30:00 PM CT","{start}","{ok}","261.3 psi"
"2019-十月-9 17:40:00 PM CT","{ }","{ok}","234.5 psi"
"2019-十月-9 17:50:00 PM CT","{ }","{ok}","228.1 psi"
"2019-十月-9 18:00:00 PM CT","{ }","{ok}","235.5 psi"
"2019-十月-9 18:10:00 PM CT","{ }","{ok}","235.0 psi"
"2019-十月-9 18:20:00 PM CT","{ }","{ok}","215.9 psi"
"2019-十月-9 18:30:00 PM CT","{ }","{ok}","238.4 psi"
"2019-十月-9 18:40:00 PM CT","{ }","{ok}","236.4 psi"
"2019-十月-9 18:50:00 PM CT","{ }","{ok}","222.3 psi"
"2019-十月-9 19:00:00 PM CT","{ }","{ok}","257.9 psi"
"2019-十月-9 19:10:00 PM CT","{ }","{ok}","237.4 psi"
"2019-十月-9 19:20:00 PM CT","{ }","{ok}","261.8 psi"
"2019-十月-9 19:30:00 PM CT","{ }","{ok}","245.7 psi"
"2019-十月-9 19:40:00 PM CT","{ }","{ok}","221.8 psi"
"2019-十月-9 19:50:00 PM CT","{ }","{ok}","230.1 psi"
