Timestamp,B TEMP_Value (°F),Predict,Lower,Upper
2019-10-14 09:10:00,-9.5,,,
2019-10-14 09:20:00,-11.5,,,
2019-10-14 09:30:00,-11.0,,,
2019-10-14 09:40:00,-14.5,,,
2019-10-14 09:50:00,-12.0,,,
2019-10-14 10:00:00,-13.0,,,
2019-10-14 10:10:00,-14.0,,,
2019-10-14 10:20:00,-8.5,,,
2019-10-14 10:30:00,-14.5,,,
2019-10-14 10:40:00,-15.0,,,
2019-10-14 10:50:00,-13.5,,,
2019-10-14 11:00:00,-11.0,,,
2019-10-14 11:10:00,-8.5,,,
2019-10-14 11:20:00,-12.0,,,
2019-10-14 11:30:00,-15.0,,,
2019-10-14 11:40:00,-13.0,,,
2019-10-14 11:50:00,-5.5,,,
2019-10-14 12:00:00,-15.0,,,
2019-10-14 12:10:00,-14.0,,,
2019-10-14 12:20:00,-6.0,,,
2019-10-14 12:30:00,-13.5,,,
2019-10-14 12:40:00,-14.5,,,
2019-10-14 12:50:00,-9.0,,,
2019-10-14 13:00:00,-9.0,,,
2019-10-14 13:10:00,-16.0,,,
2019-10-14 13:20:00,-13.0,,,
2019-10-14 13:30:00,-6.5,,,
2019-10-14 13:40:00,-6.5,,,
2019-10-14 13:50:00,-13.5,,,
2019-10-14 14:00:00,-5.5,,,
2019-10-14 14:10:00,25.0,,,
2019-10-14 14:20:00,45.5,,,
2019-10-14 14:30:00,59.5,,,
2019-10-14 14:40:00,13.0,,,
2019-10-14 14:50:00,-3.5,,,
2019-10-14 15:00:00,-6.0,,,
2019-10-14 15:10:00,-9.0,,,
2019-10-14 15:20:00,-8.5,,,
2019-10-14 15:30:00,-13.0,,,
2019-10-14 15:40:00,-11.0,,,
2019-10-14 15:50:00,-11.0,,,
2019-10-14 16:00:00,-13.5,,,
2019-10-14 16:10:00,-12.0,,,
2019-10-14 16:20:00,-5.5,,,
2019-10-14 16:30:00,-12.5,,,
2019-10-14 16:40:00,-13.0,,,
2019-10-14 16:50:00,-10.0,,,
2019-10-14 17:00:00,-14.5,,,
2019-10-14 17:10:00,-12.0,,,
2019-10-14 17:20:00,-12.0,,,
2019-10-14 17:30:00,-13.5,,,
2019-10-14 17:40:00,-11.5,,,
2019-10-14 17:50:00,-12.5,,,
2019-10-14 18:00:00,-15.5,,,
2019-10-14 18:10:00,-13.0,,,
2019-10-14 18:20:00,-16.5,,,
2019-10-14 18:30:00,-14.0,,,
2019-10-14 18:40:00,-12.5,,,
2019-10-14 18:50:00,-8.0,,,
2019-10-14 19:00:00,-13.0,,,
2019-10-14 19:10:00,-14.5,,,
2019-10-14 19:20:00,-11.5,,,
2019-10-14 19:30:00,-16.0,,,
2019-10-14 19:40:00,-14.0,,,
2019-10-14 19:50:00,-11.5,,,
2019-10-14 20:00:00,-8.0,,,
2019-10-14 20:10:00,27.0,,,
2019-10-14 20:20:00,48.0,,,
2019-10-14 20:30:00,62.0,,,
2019-10-14 20:40:00,13.5,,,
2019-10-14 20:50:00,-3.5,,,
2019-10-14 21:00:00,-7.0,,,
2019-10-14 21:10:00,-9.0,,,
2019-10-14 21:20:00,-13.0,,,
2019-10-14 21:30:00,-9.0,,,
2019-10-14 21:40:00,-14.5,,,
2019-10-14 21:50:00,-10.5,,,
2019-10-14 22:00:00,-14.5,,,
2019-10-14 22:10:00,-12.0,,,
2019-10-14 22:20:00,-13.5,,,
2019-10-14 22:30:00,-9.0,,,
2019-10-14 22:40:00,-6.5,,,
2019-10-14 22:50:00,-13.0,,,
2019-10-14 23:00:00,-5.5,,,
2019-10-14 23:10:00,-13.5,,,
2019-10-14 23:20:00,-13.5,,,
2019-10-14 23:30:00,-8.5,,,
2019-10-14 23:40:00,-16.0,,,
2019-10-14 23:50:00,-13.0,,,
2019-10-15 00:00:00,-12.5,,,
2019-10-15 00:10:00,-14.0,,,
2019-10-15 00:20:00,-13.5,,,
2019-10-15 00:30:00,-7.0,,,
2019-10-15 00:40:00,-15.5,,,
2019-10-15 00:50:00,-13.0,,,
2019-10-15 01:00:00,-6.5,,,
2019-10-15 01:10:00,-14.5,,,
2019-10-15 01:20:00,-14.0,,,
2019-10-15 01:30:00,-12.0,,,
2019-10-15 01:40:00,-16.5,,,
