Timestamp,A TEMP_Status,A TEMP_Trend Flags,A TEMP_Value (°„F),B TEMP_Status,B TEMP_Trend Flags,B TEMP_Value (°„F),C TEMP_Status,C TEMP_Trend Flags,C TEMP_Value (°„F),DEFROST_Status,DEFROST_Trend Flags,DEFROST_Value,DISCHRG_PSIG_Status,DISCHRG_PSIG_Trend Flags,DISCHRG_PSIG_Value (psi),SUCTION_PSIG_Status,SUCTION_PSIG_Trend Flags,SUCTION_PSIG_Value (psi),refrigeration_Status,refrigeration_Trend Flags,refrigeration_Value
2019-10-09 02:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 02:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 02:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 02:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 02:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 03:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 03:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 03:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 03:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 03:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 03:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 04:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 04:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 04:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 04:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 04:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 04:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 05:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 05:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 05:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 05:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 05:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 05:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 06:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 06:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 06:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 06:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 06:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 06:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 07:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 07:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 07:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 07:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 07:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 07:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 08:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 08:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 08:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 08:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 08:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 08:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 09:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
